CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/LossPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	288	38400	0.2813365	-0.025401507	433.45914	-128.75	7718.197	2659.5466	-2676.8982	1939.2268	80.0	0.0	24245.72033882141
20	289	40000	0.37107575	-0.050430637	1234.0637	-77.45	6992.0264	2643.4778	-2662.2375	-83.7598	80.0	-267.0	25256.549236536026
20	290	41600	0.2192304	-0.047111787	1179.4397	-79.2	6124.523	2650.3994	-2668.6243	1726.3573	80.0	-153.0	26245.575290203094
20	291	43200	0.40798852	-0.14946266	936.5117	-105.85	5479.2686	2636.6653	-2653.4187	1106.1298	80.0	0.0	27239.848032712936
20	292	44800	0.30685747	-0.13037084	1197.2225	-84.55	4811.1455	2620.0425	-2638.2693	19.252207	80.0	0.0	28229.34953570366
20	293	46400	-0.5498186	0.6442238	148.33809	-14.1	4043.1516	2611.87	-2631.8796	-44.734875	80.0	0.0	29237.977297067642
20	294	48000	0.030222606	0.068954565	952.3827	-107.85	3918.1003	2617.1978	-2638.1738	179.01323	80.0	-232.0	30267.21285510063
20	295	49600	0.03260736	0.0426579	859.1994	-91.4	4469.559	2631.3413	-2651.6184	351.43408	80.0	0.0	31271.492107868195
20	296	51200	-0.28735158	0.2974413	311.92874	-102.2	4129.43	2663.4707	-2681.5544	232.14157	80.0	-185.0	32269.823747634888
20	297	52800	-0.25574175	0.21619476	215.3981	-111.2	3194.577	2661.7993	-2678.8625	-319.12677	80.0	-246.0	33260.97900557518
20	298	54400	-0.01916566	-0.061155833	282.19904	-126.55	3669.295	2699.2761	-2717.2544	1957.0034	80.0	0.0	34261.93355703354
20	299	56000	0.16758311	0.05154729	779.71765	-99.25	3262.374	2703.4084	-2721.614	-85.71843	80.0	0.0	35250.55956673622
20	300	57600	-0.5624783	-0.046419382	-225.43857	-140.45	4968.9106	2731.0366	-2756.0762	-190.69612	80.0	-280.0	36261.11056685448
20	301	59200	-0.61993253	-0.21947025	-233.86348	-143.55	7586.5674	2844.6218	-2875.1074	-312.51297	80.0	-244.0	37253.89279842377
20	302	60800	-0.39423007	-0.1448311	-266.21655	-225.6	8963.512	2906.558	-2934.2932	-38.62923	80.0	-266.0	38309.10539793968
20	303	62400	-0.5674385	-0.24926423	-124.32434	-179.8	9344.937	2924.7935	-2950.3345	936.8944	80.0	-205.0	39386.571826696396
20	304	64000	-0.21096988	-0.031617794	-28.519766	-221.15	9089.826	2884.7617	-2910.663	26.88083	80.0	-238.0	40379.24744105339
20	305	65600	0.28649566	-0.04832281	692.15857	-154.6	7379.5664	2841.4202	-2859.51	-105.89823	80.0	-152.0	41376.94091486931
20	306	67200	0.07945447	-0.021717142	-238.2349	-236.35	6400.55	2757.049	-2776.7534	-464.2627	80.0	-268.0	42366.61725997925
20	307	68800	0.7738562	0.47991014	-35.828495	-232.0	6589.931	2676.453	-2695.653	829.9917	80.0	-162.0	43334.48861479759
20	308	70400	0.2996482	0.15262623	599.6144	-150.0	7297.5337	2606.3337	-2631.6855	1168.2021	80.0	-94.0	44388.60839653015
20	309	72000	0.39389077	-0.089076	1320.3123	-82.9	6425.8643	2588.3516	-2612.2285	638.01984	80.0	-262.0	45374.37921190262
20	310	73600	0.42772758	-0.120686494	1044.0645	-140.0	6516.5913	2544.585	-2566.6943	1178.0704	80.0	-255.0	46358.596794605255
20	311	75200	0.37998253	-0.08518117	878.15674	-126.4	6449.616	2499.2815	-2521.8237	1680.9038	80.0	0.0	47353.595733881
20	312	76800	0.2427557	0.19411	635.27057	-137.2	8265.159	2505.7937	-2532.3418	1364.1476	80.0	-274.0	48383.29575037956
20	313	78400	0.30543262	0.15995741	710.37585	-113.5	13667.897	2604.65	-2638.0881	-13.230795	80.0	-234.0	49373.25125312805
20	314	80000	-0.04025517	0.4260473	220.3754	-62.2	18034.244	2793.1365	-2838.3623	265.8021	80.0	0.0	50373.43409657478
20	315	81600	-0.009198468	0.29581398	196.7926	-87.4	23407.625	3093.309	-3141.0247	790.94104	80.0	0.0	51378.49484658241
20	316	83200	-0.0017364502	0.098594554	276.82614	-93.4	24057.512	3313.4807	-3358.1094	591.3481	80.0	0.0	52427.42008590698
20	317	84800	0.17927687	-0.035178937	333.46564	-129.55	21777.205	3430.788	-3467.7295	1100.7212	80.0	0.0	53425.09262037277
20	318	86400	0.31877154	-0.14472711	568.4854	-123.6	16471.47	3438.1755	-3466.1543	1452.1978	80.0	0.0	54438.77360534668
20	319	88000	0.31346226	0.024711275	864.16113	-85.7	12564.6875	3443.1204	-3467.735	287.51364	80.0	-187.0	55435.438948869705
20	320	89600	0.31137052	0.12693983	952.8841	-53.45	9744.403	3415.2637	-3436.8335	1153.6259	80.0	0.0	56451.067034721375
20	321	91200	0.20326255	0.101036966	980.21204	-21.2	7659.286	3354.2974	-3374.5168	1265.3615	80.0	0.0	57449.93275165558
20	322	92800	0.2885761	-0.020844087	1015.27814	-47.3	7216.4663	3272.1624	-3292.8887	1366.3074	80.0	0.0	58458.20645856857
20	323	94400	0.2432148	0.09296553	956.82245	-30.6	5894.5254	3217.8757	-3237.8245	787.841	80.0	-96.0	59449.51686286926
20	324	96000	0.45475608	0.10305027	835.4419	-95.9	4829.903	3151.773	-3169.7163	1430.4248	80.0	-136.0	60425.36162734032
20	325	97600	0.41387206	-0.017624307	1072.5349	-103.75	4134.4033	3094.7317	-3113.2769	382.50955	80.0	-174.0	61442.55517292023
20	326	99200	0.36167032	-0.044248484	947.24884	-135.45	3876.3494	3069.8042	-3090.4543	1550.9506	80.0	0.0	62415.15316724777
20	327	100800	0.38846177	0.025337534	1256.6383	-47.55	3167.358	3066.1592	-3084.4832	963.15967	80.0	-71.0	63481.289019584656
20	328	102400	0.31523496	0.026379304	1068.7788	-49.0	2909.9128	3063.3745	-3081.2615	335.45844	80.0	-238.0	64482.69304251671
20	329	104000	0.18143532	0.013918007	711.8925	-114.65	2537.0437	3064.0974	-3080.4875	1498.4381	80.0	0.0	65502.411652326584
20	330	105600	0.1901936	-0.15646799	545.03235	-140.15	2423.0737	3034.3777	-3047.2324	1352.4403	80.0	-135.0	66535.75380587578
20	331	107200	0.11913998	-0.18726501	896.33527	-109.1	1659.6663	3002.0808	-3014.685	1686.5135	80.0	0.0	67534.56763076782
20	332	108800	0.43446845	-0.046133224	1306.9186	-85.75	1506.6785	2958.91	-2970.064	1628.0896	80.0	0.0	68531.55409169197
20	333	110400	0.56188256	0.0027220459	1294.8196	-125.75	1608.6963	2911.85	-2923.1377	1744.47	80.0	-143.0	69525.94720005989
20	334	112000	0.4321536	-0.0135206105	1150.3887	-105.3	1509.0361	2868.4353	-2879.182	1922.7771	80.0	0.0	70524.83403968811
20	335	113600	0.4143246	0.0051824963	1299.4822	-88.05	1673.6982	2830.4092	-2841.385	-110.50768	80.0	0.0	71528.5707411766
20	336	115200	0.40785453	-0.07092574	1041.4883	-119.95	1913.1691	2797.4963	-2808.0623	1224.0986	80.0	-237.0	72515.75645303726
20	337	116800	0.3187984	0.08751879	1142.2102	-94.35	1985.489	2767.6943	-2778.97	489.4618	80.0	-227.0	73529.89064359665
20	338	118400	0.5267479	-0.06447441	1203.6465	-108.95	2146.806	2746.3948	-2758.4387	427.212	80.0	-133.0	74523.27354478836
20	339	120000	0.23598397	-0.0933107	998.8078	-136.55	4350.31	2774.0415	-2808.2883	-570.70087	80.0	-271.0	75503.29269146919
20	340	121600	0.042911492	-0.66711444	-536.90906	-246.55	17556.967	3239.6243	-3321.4316	-489.3809	80.0	-281.0	76503.14946651459
20	341	123200	-0.16297914	-0.64596504	-389.9765	-232.3	17899.418	3435.1108	-3468.3232	85.204475	80.0	-197.0	77543.52490377426
20	342	124800	0.62337404	0.1651471	683.9631	-140.65	16929.201	3621.8992	-3680.4404	-502.7602	80.0	-271.0	78578.48341822624
20	343	126400	0.8144554	0.522677	-474.029	-249.95	20314.01	3689.8445	-3724.108	1088.5277	80.0	-240.0	79598.86145114899
20	344	128000	0.30244887	-0.045293514	864.1844	-119.75	22438.945	3722.868	-3759.0693	199.2739	80.0	0.0	80569.96324157715
20	345	129600	-0.24119724	0.031507336	139.4642	-79.8	25042.713	3801.7837	-3846.4463	333.21198	80.0	0.0	81535.33648085594
20	346	131200	0.108297996	-0.05486165	185.0758	-37.9	26139.744	3876.7305	-3918.4277	176.48648	80.0	0.0	82527.86586642265
20	347	132800	0.16145524	-0.115237065	72.82269	-105.0	25644.053	3910.8804	-3947.3223	1017.8888	80.0	0.0	83529.88980722427
20	348	134400	0.20794679	0.0483809	794.65607	-121.25	19648.885	3874.646	-3906.8628	597.36707	80.0	0.0	84512.78466558456
20	349	136000	0.42875725	-0.11582895	1075.5682	-84.75	15885.885	3801.09	-3829.975	270.96692	80.0	-197.0	85488.79982590675
20	350	137600	0.29173905	-0.060020734	999.488	-62.3	14824.92	3719.2896	-3747.8132	143.35011	80.0	-207.0	86486.26627373695
20	351	139200	0.013593092	-0.06628652	420.20767	-136.95	14920.915	3648.327	-3675.9556	1795.4326	80.0	-41.0	87483.97235012054
20	352	140800	0.23565178	-0.083593905	898.15564	-125.85	11033.065	3646.4736	-3673.9778	1709.8602	80.0	0.0	88465.3033311367
20	353	142400	0.2231114	0.021099243	977.3612	-91.65	6991.2476	3700.443	-3723.4812	1269.9208	80.0	-205.0	89433.34852313995
20	354	144000	0.27456665	-0.008800971	838.05743	-126.6	5936.239	3686.1672	-3706.8738	676.92584	80.0	-187.0	90414.16578936577
20	355	145600	0.2935112	-0.07577473	804.59607	-130.7	4486.8823	3621.5068	-3637.7776	1221.6049	80.0	0.0	91386.26815366745
20	356	147200	0.08875519	-0.2518323	502.92743	-107.75	3833.3857	3559.528	-3574.8828	132.57086	80.0	-229.0	92379.99253892899
20	357	148800	0.35087135	-0.06436265	869.36017	-110.8	3630.8516	3461.628	-3477.2263	1459.381	80.0	-65.0	93369.88063240051
20	358	150400	0.38433418	0.09952773	1018.3494	-107.9	3148.613	3399.4312	-3415.8997	1179.4414	80.0	-164.0	94355.10266423225
20	359	152000	0.38120484	-0.15031338	1028.7727	-115.2	2952.8926	3348.1433	-3364.8	865.7579	80.0	-231.0	95334.15012383461
20	360	153600	0.4354425	-0.028428175	1065.5685	-128.15	2785.775	3309.1775	-3324.8162	1635.062	80.0	0.0	96288.98090863228
20	361	155200	0.4812396	0.054534007	912.9066	-151.55	3017.1655	3242.8037	-3258.2354	2159.1985	80.0	0.0	97229.77870297432
20	362	156800	0.42842683	0.028779192	1357.9779	-79.6	3346.7969	3197.412	-3213.9126	621.7296	80.0	-174.0	98199.84897708893
20	363	158400	0.24777664	-0.079043224	1058.7626	-68.75	4938.457	3187.8518	-3206.5532	1031.0636	80.0	0.0	99125.02204990387
20	364	160000	0.2269539	-0.22447336	927.76855	-73.0	5576.844	3208.6274	-3229.2107	1072.2601	80.0	0.0	100072.69609737396
20	365	161600	0.02944308	-0.04786198	510.21844	-66.0	5865.201	3248.0076	-3271.204	931.43854	80.0	0.0	100998.02184796333
20	366	163200	-0.025171382	-0.02481371	626.87646	-32.2	5579.17	3289.204	-3313.8987	201.5256	80.0	-97.0	101921.57786512375
20	367	164800	0.32387117	-0.056529436	1029.3352	-51.05	4524.1743	3332.6887	-3354.827	1102.4943	80.0	-109.0	102844.17394590378
20	368	166400	0.16716228	-0.105554126	736.2267	-34.0	4205.9805	3370.6033	-3393.3083	1022.1597	80.0	0.0	103763.80702161789
20	369	168000	0.15458508	0.04654864	751.17377	-26.5	3764.2346	3403.3545	-3425.5718	943.5697	80.0	0.0	104682.71150326729
20	370	169600	0.1367901	0.061599053	656.0414	-41.7	2661.0369	3413.7473	-3433.3162	1264.8895	80.0	-126.0	105613.9270362854
